,UEN,MATCHED_NAME,COMPANY_NAME,PIC_NAME,DESIGNATION,CONTACT_NUMBER_1_FORMATTED,CONTACT_NUMBER_2_FORMATTED,CONTACT_NUMBER_3_FORMATTED,ADDRESS,EMAIL_1,EMAIL_2,EMAIL_3,COMPANY_STATUS
2581,200906488R,ORCHARD SURGERY CENTER PTE. LTD.,ORCHARD SURGERY CENTER PTE LTD,MS AI SUAN TEL,,65 9649 2632,65 6887 5655,,HOUSE 290 ORCHARD ROAD #16-01 SNG 238859,,,,LIVE COMPANY
2582,201534338K,THE SKIN SPECIALISTS AND LASER CLINIC PTE. LTD.,THE SKIN AND LASER SPECIALISTS PTE. LTD.,MR. VINCENT,,65 8163 8970,,,HOUSE 820 THOMSON ROAD BLK D #07-61 SNG 574623,,,,LIVE COMPANY
2583,201209191W,RENAL LIFE (W) DIALYSIS CENTRE PTE. LTD.,RENAL LIFE (W) DIALYSIS CENTRE PTE LTD,MR KUHAN,,65 9764 3730,65 6288 0686,,"207, BUKIT BATOK STREET 21, #01-110, 650207",,,,LIVE COMPANY
2584,202527703M,VERY NICE PTE. LTD.,VERY NICE ART PTE. LTD.,SHERWIN TAN,,65 6684 9618,65 8100 0087,,20 SIN MING LANE #03-59 MIDVIEW CITY SNG 573968,sherwintan@veryniceart.com,,,LIVE COMPANY
2585,200312911N,ONEBERRY TECHNOLOGIES PTE. LTD.,ONEBERRY TECHNOLOGIES PTE LTD,RITA FANTILAGA,,65 9638 1810,65 6513 2168,,40 SCOTTS ROAD #17-00 ENVIRONMENT BUILDING SINGAPORE 228231,rita@oneberry.com,,,LIVE COMPANY
2586,201131900H,UNITED MEDICARE (ELIZABETH DR) PTE. LTD.,UNITED MEDICARE (ELIZABETH DR) PTE LTD,MS SHIRLEEN MAIL,,65 6760 1555,65 9782 0115,,"72, ELIZABETH DRIVE, 669745",shirleen@unitedmedicare.com.sg,,,LIVE COMPANY
2587,200414707N,THE PEOPLE AT WORK PTE. LTD.,THE PEOPLE AT WORK PTE LTD,MS SERENE HO,,65 9047 5526,,,HOUSE 19 KEPPEL ROAD #03-09 JIT POH BUILDING SNG 089058,serene@thepeopleatwork.com,,,LIVE COMPANY
2588,200709943E,GLOBAL RECRUIT & ELEVATION CENTRE PTE. LTD.,GLOBAL RECRUIT & ELEVATION CENTRE PTE LTD,MS ALICE,,65 8322 9064,,,APT/BLK 465 NORTH BRIDGE ROAD #02-5069 SNG 191465,,,,LIVE COMPANY
2589,200703283R,SELECTIVE MARINE SERVICES PTE. LTD.,SELECTIVE MARINE SERVICE PTE LTD,MS AGNES CHUA,,65 6265 6548,,,"THE ELITIST, 25, BUKIT BATOK CRESCENT, #09-06, 658066",Agnes.chus@selectivemarine.com,,,LIVE COMPANY
2590,200303145W,CRETE SECURITY SERVICES PTE. LTD.,CRETE SECURITY SERVICES PTE LTD,MR. KEON,,65 8399 8221,,,"THE CHADWICK, 81, SCIENCE PARK DRIVE, MAIN, 118257",keon.cheng@apso.com.sg,,,LIVE COMPANY
2591,200308599E,CORROTEC PTE. LTD.,CORROTEC PTE LTD,MR SAMUEL WONG,,65 8180 1414,,,10 ANG MO KIO INDUSTRIAL PARK 2A #02-01 SNG 568047,sw@corrotec.com.sg,,,LIVE COMPANY
2592,199805625C,"RECRUIT, PLACE & TRAIN PTE. LTD.",RECRUIT PLACE & TRAIN PTE LTD,MR PATRICK TEL,,65 9634 5143,,,HOUSE 20 MAXWELL ROAD #10-13A MAXWELL HOUSE SNG 069113,,,,LIVE COMPANY
2593,200415129K,ISAHAYA ELECTRONICS SALES SINGAPORE PTE. LTD.,ISAHAYA ELECTRONICS SALES (S) PTE LTD,MR MATHEW MS RENNY TEL,,65 9668 9337,65 8181 8669,,"INTERNATIONAL PLAZA, 10, ANSON ROAD, #33-13A, 079903",,,,LIVE COMPANY
2594,201001914G,KUIPER INTERNATIONAL PTE. LTD.,KUIPER INTERNATIONAL PTE LTD,MR KRISHNASAMY KESAVAN,,65 9452 6263,,,HOUSE 8 SHENTON WAY #25-01 SNG 068811,admin@kuiperinternational.sg,,,LIVE COMPANY
2595,202037407M,ANN HUAT & CO PTE. LTD.,ANN HUAT & CO,MR ANDY,,65 9199 1471,,,10 FOCH ROAD MAIN SNG 209256,andy_tsk@hotmail.com,,,LIVE COMPANY
2596,200307236R,TORINO AMK PTE. LTD.,TORINO AMK PTE LTD,MR .. KOH,,65 9678 9006,,,APT/BLK 5022 ANG MO KIO INDUSTRIAL PARK 2 #01-09 SNG 569525,torinoamk@gmail.com,,,LIVE COMPANY
2597,200712311C,BOWSTERN & HAUL PTE. LTD.,BOWSTERN & HAUL PTE LTD,MISS SAUDAH,,65 6741 2707,,,3018 BEDOK NORTH STREET 5 #01-34 EASTLINK LIGHT IND FACTORY SNG 486132,saudah@bowsternandhaul.com,,,LIVE COMPANY
2598,201324090K,ABN IMPACT PTE. LTD.,ABN IMPACT PTE LTD,MISS JENNIFER LOH,,65 9747 8458,,,"228B, SOUTH BRIDGE ROAD, 058777",,,,LIVE COMPANY
2599,200409059C,SUPERSPEED LOGISTICS PTE. LTD.,SUPERSPEED LOGISTICS PTE LTD,LAWRENCE,,65 6545 1044,,,"115 AIRPORT CARGO ROAD, #01-32 CARGO AGENTS BUILDING C, Singapore 819466",lawrence@superspeed.sg,,,LIVE COMPANY
2600,200619224D,COMPANION MANPOWER AGENCY PTE. LTD.,COMPANION MANPOWER AGENCY PTE LTD,JAVIER,,65 8139 7880,,,46 LOR 17 GEYLANG #04-01 SNG 388568,javierchua@asknlearn.com,,,LIVE COMPANY
2601,201005575C,HONG MANAGEMENT PTE. LTD.,HONG MANAGEMENT PTE LTD,HONG PH,,65 6296 0077,65 9666 5855,,HOUSE 5001 BEACH ROAD #07-03 GOLDEN MILE CPLX SNG 199588,ALLINONE@OUTLOOK.SG,,,LIVE COMPANY
2602,200104007D,DRA ASIA MARKETING PTE. LTD.,DRA ASIA MARKETING PTE LTD,"CONTACT PERSON KAGI TANI
 CONTACT NUMBER EMAIL",,65 9619 2055,,,7500A BEACH ROAD #06-303 THE PLAZA SNG 199591,kagitani@dra.com.sg,,,LIVE COMPANY
2603,200502529E,LECO AUTOMOBILE PTE. LTD.,LECO AUTOMOBILE PTE LTD,COBIN NG AARON,,65 9671 0210,65 9784 6364,,61 UBI AVENUE 2 #02-15 AML BLDG SNG 408898,cobin@leco.com.sg,,,LIVE COMPANY
2604,200713495W,HPG ACADEMY PTE. LTD.,HPG ACADEMY PTE LTD,CHERYL,,65 6348 8412,65 9791 4941,,86 MARINE PARADE CENTRAL #03-202 SINGAPORE 440086,cherylhengpg@gmail.com,,,LIVE COMPANY
2605,200401233H,BALLY PHOTO ELECTRONICS PTE. LTD.,BALLY PHOTO ELECTRONICS PTE LTD,MR. LEONARD HO MR. LIANG CHIN,,65 9846 4152,65 8228 1319,,HOUSE 1 NORTH BRIDGE ROAD #B1-20 HIGH STREET CENTRE SNG 179094,,,,LIVE COMPANY
2606,200506518G,NAYAK FREIGHT (SINGAPORE) PTE. LTD.,NAYAK FREIGHT (SINGAPORE) PTE LTD,"MS JINU ANNA MATHEW
 SALES",,65 8356 0215,65 6543 4057,65 5434 0910,"AIRFREIGHT TERMINAL 1, 85, AIRPORT CARGO ROAD, #02-204A, 819460",sales-sin@nayakfreight.com,,,LIVE COMPANY
2607,199902033Z,CHIA HOCK TRADING CO. PTE. LTD.,CHIA HOCK TRADING CO. PTE LTD,VINCENT,,65 9487 6187,,,"17, TUAS CRESCENT, 638711",vincentchua@infomedia.com.sg,,,LIVE COMPANY
2608,200201724M,LEATHER ETC. PTE. LTD.,LEATHER ETC. PTE LTD,TONY LOH HP EMAIL,,65 9188 6886,,,50 UBI AVENUE 3 #04-09 SNG 408866,tony@leatheretc.com.sg,,,LIVE COMPANY
2609,201703754G,K-MARINE ENGINEERING PTE. LTD.,SS MARINE ENGINEERING PTE. LTD.,SRINIVASAN KUMAR,,8233673,9488337,,HOUSE 7 SOON LEE STREET #03-23 ISPACE SNG 627608,,,,LIVE COMPANY
2610,200817715H,MKP PTE. LTD.,MKP PTE LTD,ROYSTON TEO JASON,,65 6462 6170,,,48 TOH GUAN ROAD EAST #01-104 ENTERPRISE HUB SNG 608586,mkpbikes@mkp.com.sg,,,LIVE COMPANY
2611,197702583W,CIVIC INTERNATIONAL PTE. LTD.,CIVIC INTERNATIONAL PTE LTD,"MS. DANG
 CONTACT NUMBER",,65 6861 7633,,,"38, BENOI PLACE, MAIN, 629952",,,,LIVE COMPANY
2612,197701787N,AMERICAN EQUIPMENT SERVICES PTE. LTD.,AMERICAN EQUIPMENT SERVICES PTE LTD,MS LINDA TAN,,65 6862 2411,,,"2A, PIONEER SECTOR 1, MAIN, 628415",amereq@singnet.com.sg,,,LIVE COMPANY
2613,200207000Z,LIXIN ENGINEERING PTE. LTD.,LIXIN ENGINEERING PTE LTD,"MR. FAN WEN
 CONTACT NUMBER",,65 9187 5759,65 9182 3519,,"LANCO, 50, TUAS BASIN LINK, MAIN, 638773",,,,LIVE COMPANY
2614,201118949R,QUALITY GROUP PTE. LTD.,QUALITY GROUP PTE LTD,MR. ARUN YESUDHAS,,65 9388 1713,,,HOUSE 7 SOON LEE STREET #04-03 ISPACE SNG 627608,arun.yesudhas@qualitygroup.no,,,LIVE COMPANY
2615,201726875D,CONSILIUM B PTE. LTD.,CONSILIUM MARINE SINGAPORE PTE LTD,MR SHEN LEN MING,,65 9617 7469,,,7030 ANG MO KIO AVENUE 5 #05-58 NORTHSTAR @ AMK SNG 569880,,,,LIVE COMPANY
2616,200602558R,HI - TECH MARINE PTE. LTD.,HI-TECH MARINE PTE LTD,MR DURAI LIZA NAYNES TECHMARINE.COM TECHMARINE.COM,,65 6861 3774,65 8186 7327,,156 GUL CIRCLE #03-00 SNG 629613,Info.sg@hi-techmarine.com,,,LIVE COMPANY
2617,201000243R,M.K.F. ENGINEERING SERVICES PTE. LTD.,M.K.F. ENGINEERING SERVICES PTE. LTD,MR CHEE MUN CHOW KEN,,65 9452 8462,65 8189 5482,,"1, JOO KOON WAY, #02-00, 628942",,,,LIVE COMPANY
2618,200804605N,UNITED GLOBAL FORCE PTE. LTD.,UNITED GLOBAL FORCE PTE. LTD,MR BABU,,65 8344 7410,,,"17, TECK PARK CRESENT TUAS, #01-00, 637845",babu@unitedglobalforce.com.sg,,,LIVE COMPANY
2619,201317791N,CHOON TIAN PTE. LTD.,CHOON TIAN PTE LTD,EU MR. HUNG DHONG LEE,,65 9620 6358,,,HOUSE 21 SERANGOON NORTH AVENUE 5 #06-02 BAN TECK HAN BLDG SNG 554864,,,,LIVE COMPANY
2620,53186145K,L+ AUTOMATION AND ELECTRICAL ENGINEERING,TECHNOLOGIC ELECTRICAL AUTOMATION AND ENGINEERING,CONTACT WEE JAI JEOK,,65 6786 4900,,,9003 TAMPINES STREET 93 #03-192 TAMPINES INDUSTRIAL PARK A SNG 528837,technologies@singnet.com.sg,,,LIVE
2621,200910916W,VIDEO HOUZE PTE. LTD.,VIDEO HOUZE PTE LTD,SULAKSHANA,,65 9680 0735,65 6255 7482,,19 KIM KEAT ROAD #01-06 FU TSU BUILDING SINGAPORE 328804,sue@videohouze.com,,,LIVE COMPANY
2622,201324989G,RIOT CREATIVE PTE. LTD.,RIOT CREATIVE PTE LTD,MR TERENCE TAN,,65 9012 7043,,,2 KALLANG AVENUE #09-05 CT HUB SNG 339407,yangcai@me.com,,,LIVE COMPANY
2623,201801312G,MEDIAVATION PTE. LTD.,MEDIAVATION,MR PAUL CHRISTIAN,,65 9119 5388,,,13B LORONG TELOK MAIN SNG 049026,poul@mediavation.tv,,,LIVE COMPANY
2624,199207095N,TMO MANUFACTURING PTE. LTD.,TMO MANUFACTURING,MS. VANESSA MS. ALICE LIM,,65 9018 5073,65 6564 4880,,"75, JOO KOON CIRCLE, MAIN, 629094",,,,LIVE COMPANY
2625,200400369K,RELIANCE PRODUCTS PTE. LTD.,RELIANCE PRODUCTS PTE LTD,MS HLA HLA,,65 9187 7445,65 6862 2558,,"23, TUAS AVENUE 10, MAIN, 639149",hlahla@reliancegroup.com.sg,,,LIVE COMPANY
2626,199302127D,IRON-MAN FABRICATION PTE. LTD.,IRON-MAN FABRICATION PTE LTD,MS FLORANCE LEE,,65 9450 2134,,,"21, THIRD CHIN BEE ROAD, MAIN, 618694",sales@ironman.com.sg,,,LIVE COMPANY
2627,200912357E,AERODYNAMIC METALS PTE. LTD.,AERODYNAMIC METALS PTE LTD,"MR. JIMMY
 CONTACT NUMBER EMAIL",,65 6558 8911,,,"27, JOO KOON ROAD, MAIN, 628982",jimmy@aerodynamicmetals.com,,,LIVE COMPANY
2628,198600978G,SIN YEH METAL PTE. LTD.,SIN YEH METAL PTE LTD,MR. FRANK,,65 9663 1217,,,"18, KIAN TECK DRIVE, MAIN, 628835",,,,LIVE COMPANY
2629,200616071R,EXCEL ENGINEERING & SERVICES PTE. LTD.,EXCEL ENGINEERING & SERVICES PTE LTD,MR JOSEPH THOMAS SEBASTIAN,,65 6289 1098,,,1020 TAI SENG AVENUE #02-3502 TAI SENG INDUSTRIAL ESTATE SNG 534416,thomasj067@singnet.com.sg,,,LIVE COMPANY
2630,200300189D,BBN INDUSTRIES (S) PTE. LTD.,BBN INDUSTRIES (S) PTE LTD,MR JOHNNY CHONG,,65 9435 9546,,,22 TUAS AVENUE 2 #02-00 SNG 639453,bbnind@singnet.com.sg,,,LIVE COMPANY
2631,201330564C,K PRECISION ENGINEERING PTE. LTD.,TEAM PRECISION ENGINEERING,MR CHENG,,65 9478 9503,,,12 KWONG MIN ROAD MAIN SINGAPORE 628714,shaorong@teamprecisionmetal.com,,,LIVE COMPANY
2632,200609268Z,LIAN SIONG ALUMINIUM & TRADING PTE. LTD.,LIAN SIONG ALUMINIUM & TRADING PTE LTD,LENG,,65 6861 5681,,,1 YISHUN STREET 23 #01-23 YS-ONE SNG 768441,skleng88@gmail.com,,,LIVE COMPANY
2633,201007671E,VISION ONE PTE. LTD.,VISION ONE PTE LTD,LAU MENG FUNG ONE.COM.SG,,65 9800 4423,65 6264 8334,,42 LOK YANG WAY MAIN SINGAPORE 628644,mf.lau@vision-one.com.sg,,,LIVE COMPANY
2634,199905860K,LIAN HOCK HARDWARE INDUSTRIES PTE LTD,SOON HOCK HARDWARE INDUSTRIES PTE LTD,KOK KIAN HUAT,,65 6286 2911,,,24 DEFU LANE 7 MAIN SNG 539344,shhipl@singnet.com.sg,,,LIVE COMPANY
2635,200305050N,BENG SIANG MACHINERY PTE. LTD.,BENG SIANG MACHINERY PTE LTD,MS WANG,,65 9871 9345,,,HOUSE 67J TUAS SOUTH AVENUE 1 MAIN SNG 637588,enquiry@bsforklift.com.sg,,,LIVE COMPANY
2636,200800093N,SHINNER ELECTRIC (S) PTE. LTD.,SHINNER ELECTRIC (S) PTE LTD,MS SERENE,,65 9880 7571,,,59 UBI AVENUE 1 #07-13 SNG 408938,shinner@singnet.com.sg,,,LIVE COMPANY
2637,200312788K,MAGUIRE PRODUCTS ASIA PTE. LTD.,MAGUIRE PRODUCTS ASIA PTE LTD,"MS SCHERRIE WONG
 PRODUCTS.COM.SG",,65 6848 7117,,,15 CHANGI NORTH STREET 1 #01-15 SNG 498765,,,,LIVE COMPANY
2638,200311068G,TOOL-TEMP ASIA PTE. LTD.,TOOL-TEMP ASIA PTE LTD,"MS SCHERRIE WONG
 PRODUCTS.COM.SG",,65 6848 7117,,,15 CHANGI NORTH STREET 1 #01-15 SNG 498765,,,,LIVE COMPANY
2639,200813514D,21 MAX NEW SOLUTION PTE. LTD.,21 MAX NEW SOLUTION PTE LTD,MS ANNIE WONG,,65 6755 5657,,,18 SIN MING LANE #05-16 MIDVIEW CITY SNG 573960,maxnew@pacific.net.sg,,,LIVE COMPANY
2640,201113042G,LBM ENTERPRISE PTE. LTD.,LBM ENTERPRISE PTE LTD,MR YEE,,65 9689 5766,,,9010 TAMPINES STREET 93 #03-85 TAMPINES INDUSTRIAL PARK A SNG 528844,ibm@pacific.net.sg,,,LIVE COMPANY
2641,T10FC0107K,"KUNIMORI ENGINEERING WORKS CO., LTD. SINGAPORE BRANCH",KUNIMORI ENGINEERING WORKS CO. LTD.,MR TOMOYUKI HIRONAKA,,65 9658 9164,65 6226 0321,,HOUSE 101 CECIL STREET #16-02 TONG ENG BUILDING SNG 069533,,,,LIVE COMPANY
2642,200503649C,CM GLOBAL TECHNOLOGIES PTE. LTD.,CM GLOBAL TECHNOLOGIES PTE LTD,MR TAN,,65 9711 2219,,,7030 ANG MO KIO AVENUE 5 #08-74 NORTHSTAR @ AMK SNG 569880,Derek.tan@cmglobal.com.sg,,,LIVE COMPANY
2643,201406035H,AIMS PRODUCTIONS (SG) PTE. LTD.,AIMS PRODUCTIONS LLP,"MR RAY RAHMAN
 MARKETING.COM",,65 9799 7490,65 6646 5243,,47 KALLANG PUDDING ROAD #05-15 THE CRESCENT @ KALLANG SNG 349318,ray@aims-marketing.com,,,LIVE COMPANY
2644,201412388C,TAKARA BELMONT SINGAPORE PTE. LTD.,TAKARA BELMONT SINGAPORE PTE LTD,MR NORRIS,,65 6316 1110,,,"THE STRATEGY, 2, INTERNATIONAL BUSINESS PK, #01-20, 609930",nori@takarabelmont.sg,,,LIVE COMPANY
2645,53494555D,COMMERCIAL.SG,JK COMMERCIAL,"MR LOW
 CONTACT NUMBER EMAIL",,65 9172 2323,,,8 UBI ROAD 2 #06-17 ZERVEX SNG 408538,jklow@singnet.com.sg,,,LIVE
2646,200801203E,SYMBIAN MOBILE PTE. LTD.,SYMBIAN MOBILE PTE LTD,MR JOHN CHAM,,65 9452 2911,65 6346 6088,,83 MARINE PARADE CENTRAL #01-550 SNG 440083,symbian_mobile@hotmail.com,,,LIVE COMPANY
2647,197302253C,ITW CONSTRUCTION PRODUCTS (SINGAPORE) PTE. LTD.,ITW CONSTRUCTION PRODUCTS (SINGAPORE) PTE LTD,MR CHUA,,65 9023 8899,65 6746 1177,,"NAN WAH BUILDING, 4, CHANGI SOUTH LANE, #05-05, 486127",kcchua@itwcpsea.com,,,LIVE COMPANY
2648,201117549C,ECO GREEN LVD (S) PTE. LTD.,ECO GREEN LVD (S) PTE LTD,MR ALEX MS SHEILA,,65 9070 9966,65 9795 6361,,"TRADEHUB 21, 18, BOON LAY WAY, #08-104, 609966",,,,LIVE COMPANY
2649,197700840E,TOKYO SANGYO SINGAPORE PTE. LTD.,TOKYO SANGYO SINGAPORE PTE LTD,LIM KOK ENG,,65 9007 0207,,,51 UBI AVENUE 1 #05-02 PAYA UBI INDUSTRIAL PARK SNG 408933,tokyosangyosin@singnet.com.sg,,,LIVE COMPANY
2650,200702148H,KIAN CHUE HWA (INDUSTRIES) PTE. LTD.,KIAN CHUE HWA (INDUSTRIES) PTE LTD,GARY IND.COM.SG,,65 9878 7987,,,"ISPACE, 7, SOON LEE STREET, #01-30, 627608",gary.tim@keh-ind.com.sg,,,LIVE COMPANY
2651,201303876N,NOVUS TECHNOLOGIES PTE. LTD.,NOVUS TECHNOLOGIES PTE LTD,"BALA
 CONTACT NUMBER EMAIL",,65 9660 3656,,,152 BEACH ROAD #13-05 THE GATEWAY EAST SNG 189721,Ricardos.khoury@novususch.com.sg,,,LIVE COMPANY
2652,198204256H,HEWLETT-PACKARD SINGAPORE (SALES) PTE. LTD.,HEWLETT-PACKARD SINGAPORE (SALES) PTE LTD,ANAND NATARAJAN CC ZHENG,,65 6337 3461,,,1 SERANGOON NORTH AVENUE 5 #04-03A TEPL BUILDING SNG 554915,anand.natarajan@hp.com,,,LIVE COMPANY
2653,200509231C,MPH CRANES (FAR - EAST) PTE. LTD.,MPH CRANES (FAR?EAST) PTE LTD,MS. MANDY,,65 6747 7276,,,"ENTERPRISE HUB, 48, TOH GUAN ROAD EAST, #08-124, 608586",,,,LIVE COMPANY
2654,200205482H,ALCO ENGINEERING & TRADING PTE. LTD.,ALCO ENGINEERING & TRADING PTE LTD,MS THERESA,,65 6863 4598,,,"WESTLINK TWO, 71, TUAS VIEW PLACE, #02-04, 637434",ALCOETPL@SINGNET.COM.SG,,,LIVE COMPANY
2655,198105012W,TRIANGLE PRECISION INDUSTRY PTE. LTD.,TRIANGLE PRECISION INDUSTRY PTE LTD,MS SIAW LI WEN,,65 6542 3711,,,"5, LOYANG STREET, 508840",accounts@triangle.com.sg,,,LIVE COMPANY
2656,200819478G,STAR ARRAY PTE. LTD.,STAR ARRAY PTE LTD,MR XUDONG ZENG,,65 9146 7372,,,HOUSE 20 SCIENCE PARK ROAD #01-04 TELETECH PARK SNG 117674,,,,LIVE COMPANY
2657,200514993W,CUBIT PTE. LTD.,CUBIT PTE LTD,MR MAE MAQUILAN MS BAIG SAQIB HABIB,,65 9176 2064,65 9012 5026,65 5552 3950,HOUSE 32 ANG MO KIO INDUSTRIAL PARK 2 #06-02 SING INDUSTRIAL COMPLEX SNG 569510,selina@cubit.com.sg,,,LIVE COMPANY
2658,201500240C,TUCK YUEN M&E PTE. LTD.,TUCK YUEN M&E,MR LEONG KOK CHOON,,65 9747 2389,,,48 TOH GUAN ROAD EAST #09-126 SNG 608586,,,,LIVE COMPANY
2659,199601961Z,ATTAS FAR EAST PTE. LTD.,ATTAS FAR EAST PTE LTD,MR KC MR AH WENG,,65 9720 0172,65 9814 0908,,HOUSE 7 SOON LEE STREET #03-16 ISPACE SNG 627608,,,,LIVE COMPANY
2660,200707965Z,LOR ENGINEERING OILFIELD SERVICES PTE. LTD.,LOR ENGINEERING OILFIELD SERVICES PTE LTD,MR HAFIZ AHMAD,,65 9876 4849,65 6542 4578,,25 LOYANG CRESCENT BLK 302 TOPS AVE 1 #01-07/08 LOYANG OFFSHORE SUPPLY BASE SNG 508988,hafiz@lorengrg.com.sg,,,LIVE COMPANY
2661,200602808R,VALUTEMP PTE. LTD.,VALUTEMP PTE LTD,MR GEORE NG,,65 9835 0912,65 6425 1635,,2022 BUKIT BATOK STREET 23 #03-120 SNG 659527,george@valutemp.com.sg,,,LIVE COMPANY
2662,200411975C,PERFECT CREATION PTE. LTD.,PERFECT CREATION P/L,MR CHIN CHING HIN,,65 9816 2271,65 6570 1729,,HOUSE 2 BUKIT BATOK STREET 23 #02-12 BUKIT BATOK CONNECTION SNG 659554,pcsale@perfectcreation.com.sg,,,LIVE COMPANY
2663,198300334N,EVERLINK INVESTMENT AND REALTY PTE LTD,EVERLINK INVESTMENT & REALTY PTE LTD,MR BRIAN NG,,65 9781 8813,65 6534 0518,,HOUSE 101 UPPER CROSS STREET #04-51 PEOPLE'S PARK CENTRE SNG 058357,,,,LIVE COMPANY
2664,201005990K,UNIQUE PRECISION PTE. LTD.,UNIQUE PRECISION PTE LTD,MISS SANDY CONTACT NUMBER EMAIL,,65 6899 8832,65 6749 0131,,3015A UBI ROAD 1 #03-04 KAMPONG UBI IND EST SNG 408705,admin@uppl.com.sg,,,LIVE COMPANY
2665,199002990C,ENERCOV (S) PTE. LTD.,ENERCOV (S) PTE LTD,JOHNSON ONG,,65 9272 2086,,,80 GENTING LANE #06-02 GENTING BLK RUBY INDUSTRIAL COMPLEX SINGAPORE 349565,johnson.ong@enercov.com.sg,,,LIVE COMPANY
2666,201600149H,FOCUS DE LIGHTINGS PTE. LTD.,FOCUS DE LIGHTINGS,RONNIE CHING,,65 9682 6775,,,519 BALESTIER ROAD #01-01 SNG 329852,ronnie@focusdelightings.com.sg,,,LIVE COMPANY
2667,199707306M,SERVICEWORKS PTE. LTD.,SERVICEWORKS PTE LTD,STEPHANIE LEE,,65 6284 4680,,,780 UPPER SERANGOON ROAD #02-04 SNG 534649,stephanielee@servicesworks.com.sg,,,LIVE COMPANY
2668,201315048M,REVIVAL MEDICAL (SINGAPORE) PTE. LTD.,REVIVAL MEDICAL (SINGAPORE) PTE. LTD,MS. SABRINA MS. LINDA CHUA TEL,,65 9145 7909,65 6337 2707,,HOUSE 252 NORTH BRIDGE ROAD #B2-26 RAFFLES CITY SHOPPING CENTRE SNG 179103,,,,LIVE COMPANY
2669,200507717C,FLAME COMMUNICATIONS PTE. LTD.,FLAME COMMUNICATIONS PTE LTD,MS. FLORENCE,,65 9768 8186,,,HOUSE 100 BEACH ROAD #22-07 SHAW TOWERS SNG 189702,,,,LIVE COMPANY
2670,200006608K,WAH CHAN CONSOLIDATED PTE. LTD.,WAH CHAN CONSOLIDATED PTE LTD,MS WINNIE TEL,,65 8201 1820,,,391B ORCHARD ROAD #21-05A NGEE ANN CITY TOWER B SNG 238874,,,,LIVE COMPANY
2671,200922556C,BMI TAX SERVICES PTE. LTD.,BMI TAX SERVICES PTE LTD,MS SIM LEE KOON SHERIN,,65 6535 9595,,,1 COLEMAN STREET #08-07 THE ADELPHI SNG 179803,,,,LIVE COMPANY
2672,201231429D,OCEAN CONSULTANT & EMPLOYMENT PTE. LTD.,OCEAN CONSULTANT & EMPLOYMENT PTE LTD,MS MAGDALENE LIM,,65 8654 3053,,,285A TANJONG KATONG ROAD MAIN SNG 437068,,,,LIVE COMPANY
2673,200511464H,ICONNECT SOLUTIONS PTE. LTD.,ICONNECT SOLUTIONS PTE LTD,"MS LYNN TEO
 ASIA.COM",,65 6260 2466,,,60D KALLANG PUDDING ROAD #02-03 INGOLSTADT CENTRE SNG 349321,lynn@iconnect-asia.com,,,LIVE COMPANY
2674,200613145G,NGEE ANN POLYTECHNIC GLOBAL PTE. LTD.,NGEE ANN POLYTECHNIC,MS KIARA,,65 6468 0060,,,HOUSE 535 CLEMENTI ROAD MAIN NGEE ANN POLYTECHNIC SNG 599489,,,,LIVE COMPANY
2675,200515179W,NRG ENGINEERING PTE. LTD.,NRG ENGINEERING PTE LTD,MS JAN CHONG,,65 9665 6407,65 6304 5312,,HOUSE 3 FUSIONOPOLIS WAY #05-20 SYMBIOSIS SNG 138633,finance@nrgengineering.com,,,LIVE COMPANY
2676,200700603D,XN PROTEL SYSTEMS (ASIA) PTE. LTD.,XN PROTEL SYSTEMS (ASIA) PTE LTD,MS FIONA,,65 9732 4397,,,HOUSE 1 NORTH BRIDGE ROAD #21-05 HIGH STREET CENTRE SNG 179094,,,,LIVE COMPANY
2677,200400265M,CLS INTERNATIONAL (1993) PTE. LTD.,CLS INTERNATIONAL (1993) PTE LTD,MS EUNICE,,65 8511 9985,,,1 PEMIMPIN DRIVE #06-04 ONE PEMIMPIN SNG 576151,eunice@clsintl.com,,,LIVE COMPANY
2678,201906723N,S & S MANAGEMENT SERVICES PTE. LTD.,GL MANAGEMENT SERVICES PTE. LTD.,MR. AMOS ANG CONTACT NUMBER,,65 9026 5640,65 6223 0081,,"SUNTEC TWR FOUR, 6, TEMASEK BOULEVARD, #25-02, 038986",,,,LIVE COMPANY
2679,201324914D,DEVOTE MANAGEMENT PTE. LTD.,DEVOTE MANAGEMENT PTE LTD,"MR WAYNE TAN PEI WEI
 OM",,65 9723 8057,65 6336 0726,,"THE SIGNATURE, 51, CHANGI BUSINESS PARK CENTRAL 2, #08-12, 486066",,,,LIVE COMPANY
2680,199401442E,CAPELLE CONSULTING PTE. LTD.,CAPELLE CONSULTING PTE LTD,"MR VICTOR SANTOSO
 COM",,65 8322 0379,65 6325 4982,,11 EUNOS ROAD 8 #05-04 SNG 408601,,,,LIVE COMPANY
2681,202333706K,MUSTARD SEED CONSULTING GROUP PTE. LTD.,MUSTARD SEED GROUP PTE LTD,MR TARRY,,65 9855 4167,,,HOUSE 59 KIM YAM ROAD MAIN SNG 239360,tarry@mustardseedgroup.com.sg,,,LIVE COMPANY
2682,200304671C,JAS WORLDWIDE ASIA PTE. LTD.,JAS WORLDWIDE ASIA PTE LTD,MR TAN TEOH CHONG,,65 9789 8376,,,223 MOUNTBATTEN ROAD #02-07 SNG 398008,teohchong.tan@jas.com,,,LIVE COMPANY
